"","id","company_urlname","company_id","shares","C2B_likes","total_comments","created_date","post_time","post_date","weekday","time","type","afinnscore","bingscore","anger","anticipation","disgust","fear","joy","negative","positive","sadness","surprise","trust","message"
"15",15,"Acura","85299287409",0,323,29,"2012-02-28","19:13:22","2012-02-28",2,"night","link",NA,NA,0,0,0,0,0,0,1,0,0,0,"like this status if you’re already daydreaming about summer road trips."
"16",16,"Acura","85299287409",0,43,71,"2012-02-27","19:19:00","2012-02-27",1,"night","link",NA,NA,0,0,0,1,0,0,0,0,0,0,"do you have any accessories on your acura? what did you add or change on your car?"
"17",17,"Acura","85299287409",0,91,20,"2012-02-26","19:13:00","2012-02-26",7,"night","link",NA,NA,0,1,0,0,0,0,1,0,0,0,"if you’re out and about this weekend and need to check info on any acura model, see current offers or locate a dealer, our mobile site is here to help!"
"18",18,"Acura","85299287409",0,126,184,"2012-02-24","08:11:36","2012-02-24",5,"morning","photo",NA,NA,0,0,0,0,0,0,1,0,1,0,"can you guess the year and model of this acura?"
"19",19,"Acura","85299287409",0,400,656,"2012-02-23","08:11:18","2012-02-23",4,"morning","link",NA,NA,0,1,0,0,0,0,0,0,0,0,"if you could wake up tomorrow with the new nsx concept in your driveway, what color would you want it to be?"
"20",20,"Acura","85299287409",0,41,20,"2012-02-22","19:11:04","2012-02-22",3,"night","link",6,3,0,1,0,0,3,0,3,0,0,2,"we love it when our fans share pictures of their acuras with us. post a wall photo or tag “acura” in your favorite acura image."
"21",21,"Acura","85299287409",0,44,68,"2012-02-21","18:11:46","2012-02-21",2,"afternoon","link",NA,-1,0,0,0,0,0,0,1,0,0,1,"driving in the snow can be tricky if you’re not used to it. those of you who are experienced snow drivers, do you have any tips for the rookies flocking to the slopes?"
"22",22,"Acura","85299287409",0,67,3,"2012-02-20","18:11:20","2012-02-20",1,"afternoon","link",4,1,1,2,0,0,1,1,3,1,0,1,"happy president’s day! the president’s day sales event is in full swing. to take advantage of these limited-time offers, visit:"
"23",23,"Acura","85299287409",0,28,2,"2012-02-19","18:10:57","2012-02-19",7,"afternoon","link",1,2,0,0,0,0,0,0,1,0,0,0,"it’s quick and easy to retrieve your radio or navi code. find it fast at my acura."
"24",24,"Acura","85299287409",0,48,94,"2012-02-18","17:10:54","2012-02-18",6,"afternoon","link",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"if you could give away an acura, which would one would you choose and who would you give it to?"
"25",25,"Acura","85299287409",0,48,4,"2012-02-17","18:10:57","2012-02-17",5,"afternoon","link",5,NA,0,1,0,0,1,0,2,0,0,0,"we’re celebrating president’s day with an exclusive sales event! to see all the great offers, visit:"
"26",26,"Acura","85299287409",0,30,12,"2012-02-16","21:01:27","2012-02-16",4,"night","link",5,4,0,2,0,0,2,0,3,0,1,1,"the glamourai knows fashion like the back of her hand. we’re delighted to whisk her around new york fashion week in the sleek and refined mdx. how does your acura inspire your style?"
"27",27,"Acura","85299287409",0,0,0,"2012-02-16","17:00:34","2012-02-16",4,"afternoon","question",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",28,"Acura","85299287409",0,58,15,"2012-02-15","18:20:42","2012-02-15",3,"afternoon","link",7,3,0,3,0,0,2,2,4,0,1,3,"congratulations to elliot l. scheiner, the 'els' in the els surround sound system found in many acura models. he was honored yesterday with his seventh grammy award for best surround sound album."
"29",29,"Acura","85299287409",0,43,7,"2012-02-14","22:20:31","2012-02-14",2,"night","link",5,2,0,3,0,0,2,0,2,0,0,0,"last week we auctioned off a custom acura tl for $80,000 at the annual musicares charity auction, which helped to raise a record-breaking$6.5 million. congratulations to musicares and all those who attended the auction for making the night such a huge success!"
"30",30,"Acura","85299287409",0,48,20,"2012-02-14","16:10:51","2012-02-14",2,"afternoon","link",3,2,0,1,0,0,1,0,1,0,0,1,"happy valentine’s day acura fans! how did you meet your valentine?"
