company_urlname,company_id,shares,C2B_likes,total_comments,weekday,afinnscore,bingscore,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,message
Acura,85299287409,0,30,17,1,3,1,0,0,0,0,1,0,1,0,0,0,"driving to work may not be one of them, but are there some places you love to drive to?"
Acura,85299287409,0,55,53,7,NA,1,0,0,0,0,0,0,1,0,0,0,good morning acura fans! what are you going to do with that extra hour of daylight?
Acura,85299287409,0,53,31,6,-3,-1,1,0,0,0,0,1,1,1,0,0,remember to set your clocks ahead 1 hour tonight. how do you feel about losing an hour of sleep?
Acura,85299287409,19,180,60,5,5,1,0,1,0,0,1,0,3,0,1,1,excited for the new acura ilx? get on our interest list today to receive exclusive information on this all new acura model! 
Acura,85299287409,2,87,15,5,7,2,0,3,0,0,3,0,3,0,1,2,"you may remember tyson hugie as the acura owner who drove his legend to 500,000 miles. as an acura enthusiast for 15 years, we thought heíd be the perfect fan to take a first look at the new ilx and share his thoughts. to see what he has to say, check out the new tyson tab on the here: _296232597109442"
Acura,85299287409,0,24,9,3,1,2,0,0,0,0,0,0,1,0,0,0,itís quick and easy to retrieve your radio or navi code. find it fast at my acura.
Acura,85299287409,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acura,85299287409,0,30,60,1,3,1,0,1,0,0,1,0,1,0,0,1,happy monday! what did you and your acura do this past weekend?
Acura,85299287409,0,320,41,7,-3,0,0,0,0,0,0,1,1,1,0,1,like this status if your acura navigation system helped you find your way when you were lost.
Acura,85299287409,0,31,18,6,1,0,1,1,0,1,2,1,2,1,1,0,are you lucky enough to steal away for a winter vacation? where are you going?
Acura,85299287409,0,61,6,5,5,5,1,1,1,1,2,1,3,1,1,1,congratulations to the 5 acura fans who submitted winning videos in our rdx essential luxury challenge! to see who the winners are check the contest tab here:
Acura,85299287409,0,40,26,5,4,1,0,1,0,0,1,0,2,0,0,1,do you have a story to share about your acura? visit our celebrate site and tell us about it:
Acura,85299287409,0,27,111,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,what song really gets you in the mood to drive?
Acura,85299287409,0,40,5,3,5,2,0,3,0,0,2,0,3,0,0,2,"happy leap day everyone! get out there and enjoy the extra day, the next one wonít happen till 2016."
Acura,85299287409,0,323,29,2,NA,NA,0,0,0,0,0,0,1,0,0,0,like this status if youíre already daydreaming about summer road trips.
Acura,85299287409,0,43,71,1,NA,NA,0,0,0,1,0,0,0,0,0,0,do you have any accessories on your acura? what did you add or change on your car?
Acura,85299287409,0,91,20,7,NA,NA,0,1,0,0,0,0,1,0,0,0,"if youíre out and about this weekend and need to check info on any acura model, see current offers or locate a dealer, our mobile site is here to help!"
Acura,85299287409,0,126,184,5,NA,NA,0,0,0,0,0,0,1,0,1,0,can you guess the year and model of this acura?
Acura,85299287409,0,400,656,4,NA,NA,0,1,0,0,0,0,0,0,0,0,"if you could wake up tomorrow with the new nsx concept in your driveway, what color would you want it to be?"
Acura,85299287409,0,41,20,3,6,3,0,1,0,0,3,0,3,0,0,2,we love it when our fans share pictures of their acuras with us. post a wall photo or tag ìacuraî in your favorite acura image.
Acura,85299287409,0,44,68,2,NA,-1,0,0,0,0,0,0,1,0,0,1,"driving in the snow can be tricky if youíre not used to it. those of you who are experienced snow drivers, do you have any tips for the rookies flocking to the slopes?"
Acura,85299287409,0,67,3,1,4,1,1,2,0,0,1,1,3,1,0,1,"happy presidentís day! the presidentís day sales event is in full swing. to take advantage of these limited-time offers, visit:"
Acura,85299287409,0,28,2,7,1,2,0,0,0,0,0,0,1,0,0,0,itís quick and easy to retrieve your radio or navi code. find it fast at my acura.
Acura,85299287409,0,48,94,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"if you could give away an acura, which would one would you choose and who would you give it to?"
Acura,85299287409,0,48,4,5,5,NA,0,1,0,0,1,0,2,0,0,0,"weíre celebrating presidentís day with an exclusive sales event! to see all the great offers, visit:"
Acura,85299287409,0,30,12,4,5,4,0,2,0,0,2,0,3,0,1,1,the glamourai knows fashion like the back of her hand. weíre delighted to whisk her around new york fashion week in the sleek and refined mdx. how does your acura inspire your style?
Acura,85299287409,0,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acura,85299287409,0,58,15,3,7,3,0,3,0,0,2,2,4,0,1,3,"congratulations to elliot l. scheiner, the 'els' in the els surround sound system found in many acura models. he was honored yesterday with his seventh grammy award for best surround sound album."
Acura,85299287409,0,43,7,2,5,2,0,3,0,0,2,0,2,0,0,0,"last week we auctioned off a custom acura tl for $80,000 at the annual musicares charity auction, which helped to raise a record-breaking$6.5 million. congratulations to musicares and all those who attended the auction for making the night such a huge success!"
Acura,85299287409,0,48,20,2,3,2,0,1,0,0,1,0,1,0,0,1,happy valentineís day acura fans! how did you meet your valentine?
Acura,85299287409,0,68,40,1,3,1,0,0,0,0,1,0,1,0,0,0,love is in the air! has your acura been there for any of your first dates?
Acura,85299287409,0,258,70,7,2,1,0,0,0,0,1,0,1,0,0,1,"the future is here. check out our newest vehicles: the 2013 rdx, the 2013 ilx and the nsx concept.  which is your favorite?"
Acura,85299287409,0,70,24,6,4,1,0,0,0,0,0,0,2,0,0,0,"last year, tyson hugie reached an impressive milestone with his acura legend: 500,000 miles! this year, we sent him 2,000 miles to detroit to check out our new line-up. see what he had to say to acura chief designer jon ikeda about the longevity of acura design."
Acura,85299287409,0,89,7,6,4,2,0,0,0,0,0,0,1,0,0,1,"acura is auctioning off a brand new tl at the annual musicares event tonight. the gala is honoring paul mccartney, and weíve customized a tl in his honor."
Acura,85299287409,0,73,21,5,5,NA,0,2,0,0,0,0,2,0,0,0,"want the inside scoop on the production versions of the 2013 rdx and ilx?check out our future vehicles section for all the details. while youíre there,  you can get on the list to receive exclusive details on the 2013 rdx before they're available to the public."
Acura,85299287409,0,63,19,5,NA,NA,0,0,1,0,0,1,0,0,0,0,"you may remember tyson hugie as the blogger who drove his acura legend to 500,000 miles. now see what he thinks of the all-new 2013 ilx as he checks out acuraís newest vehicle with digital marketing senior manager john watts."
Acura,85299287409,0,29,6,5,-2,NA,1,2,0,1,1,2,1,1,2,1,donít forget to vote for ìtransactionsî starring jerry seinfeld and jay leno on youtubeís ad blitz; watch the extended cut and all the web extras and outtakes at acura.com #jerrysnsx
Acura,85299287409,0,50,15,4,NA,-1,0,0,0,0,0,1,2,0,0,1,"we sent blogger and acura legend owner tyson hugie to detroit last month to get a first-hand look at the all-new 2013 ilx, where he met with acura vice president jeff conrad to learn more about the new car. check it out here:"
Acura,85299287409,0,34,43,4,3,1,0,1,0,0,1,0,1,0,1,0,the weekend is almost here! do you have exciting plans for you and your acura?
Acura,85299287409,0,200,29,3,4,2,0,1,0,0,2,0,2,0,2,1,youíve seen the in-game spot and the extended cut but weíre most excited about the latest video. see the hilarious outtakes with jerry seinfeld and jay leno; exclusively on acura.com
Acura,85299287409,0,71,17,3,3,1,0,2,0,0,1,0,4,0,1,1,"we're excited to announce that the production versions of the ilx and rdx will make their world debut at the 2012 chicago auto show on february 8. if you want to learn more about the cars, visit:"
Acura,85299287409,0,53,10,3,6,2,0,3,0,0,1,0,3,0,2,3,we hope our ad starring jerry seinfeld and jay leno made the top of your list. help us top the youtube ad blitz list by voting for ìtransactionsî now!
Acura,85299287409,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acura,85299287409,0,95,28,1,2,1,0,1,0,0,0,0,1,0,3,1,did you catch our ad starring jerry seinfeld and jay leno during the big game yesterday? help us top youtubeís ad blitz list by voting for ìtransactionsî on youtubeís ad blitz!
Acura,85299287409,0,109,25,1,6,2,0,3,0,0,1,0,3,0,2,3,now that the big game is over what were your big highlights? we hope our ad starring jerry seinfeld and jay leno made the top of your list. help us top the youtube ad blitz list by voting for ìtransactionsî now!
Acura,85299287409,0,179,45,7,-1,NA,0,2,0,1,0,1,0,0,0,0,"watching the big game today? be on the lookout for our ad during the 3rd quarter, starring jerry seinfeld and the new nsx concept vehicle. if you just canít wait, head over to our youtube page to watch the extended cut and all 5 of our web extras now. #jerrysnsx"
Acura,85299287409,0,61,20,6,3,1,0,1,0,0,0,0,0,0,0,0,"anyone going to the super bowl tomorrow? if you wonít be there in person, will you be tuning in?"
Acura,85299287409,0,33,29,5,3,1,0,2,1,0,2,0,2,0,2,1,itís finally friday! do you have any exciting plans for the weekend?
Acura,85299287409,0,55,6,5,1,NA,0,1,0,0,0,1,1,0,0,0,"start  your weekend with the last three of our web extras featuring jerry seinfeld ñ ìzip lineî, ìprivate comedy showî and ìsmall talkî. see them all here: #jerrysnsx"
Acura,85299287409,22,65,5,4,5,1,0,1,0,0,2,0,4,0,2,1,"the big game is around the corner but we canít contain our excitement. we just have too much great seinfeld content, so weíre giving our fans some exclusive web extras. check out the extended version again and catch our latest web extra: ìsock puppet recap.î"
Acura,85299287409,0,26,133,4,-1,-1,0,0,0,1,0,0,0,0,0,0,"one of the most difficult decisions when purchasing a car is choosing the color. what color is your acura, and why did you choose it?"
Acura,85299287409,0,32,5,3,10,3,1,2,0,1,3,1,10,0,2,1,"join us tonight on twitter from 9-10 pm et (6-7 pm pt) to discuss the rdx essential luxury challenge, the rdx itself and, of course, lifeís essential luxuries. simply follow #rdxcontest on twitter to join the discussion. to celebrate lifeís luxuries, weíll be giving away prizes including spa, coffee and restaurant gift cards and a nook simple touch!rsvp to win:"
Acura,85299287409,0,57,5,3,3,1,0,1,0,0,1,0,2,0,1,1,"have you seen the extended version of our big game commercial, starring jerry seinfeld and the new nsx concept vehicle? you will be excited to know that the first web extra, ìmunchkin,î is now also up. see them both now. #jerrysnsx"
Acura,85299287409,0,99,14,3,NA,1,0,0,0,0,0,0,1,0,0,0,canít get enough of the nsx? check out this article on the history and future of one of our most legendary models.
Acura,85299287409,0,38,2,2,10,4,1,2,0,1,4,1,10,0,2,1,"want to learn more about the new rdx and enter to win a luxury weekend in arizona through our rdx essential luxury challenge? join us on wednesday, february 1 from 9-10 pm et (6-7 pm pt) on twitter by following the hashtag #rdxcontest. weíll be discussing lifeís essential luxuries and even giving away a few prizes, including spa, coffee and restaurant gift cards and a nook simple touch! rsvp to win:"
Acura,85299287409,0,35,4,2,1,NA,0,1,0,0,1,0,1,0,0,1,we have acura owner stories posted at celebrate.acura.com. read the stories and share your own.
Acura,85299287409,0,141,22,1,2,-1,1,0,0,1,0,2,0,0,1,0,"get an exclusive sneak peek of the extended version of our big game commercial staring jerry seinfeld, jay leno, and the new nsx concept vehicle. #jerrysnsx"
Acura,85299287409,0,86,57,1,2,1,0,0,0,0,1,0,1,0,0,1,can you name all three of the newest acura models? which is your favorite?
Acura,85299287409,0,40,74,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,have you accessorized your acura? what accessories have you added to your ride?
Acura,85299287409,0,25,52,6,NA,NA,0,0,0,0,0,0,1,0,0,0,"if you were to describe yourself as an acura model, which one would you be and why?"
Acura,85299287409,0,29,38,5,3,2,1,0,0,1,1,1,2,0,0,0,innovative? advanced? aggressive? elegant? how do you describe your acuraís performance?
Acura,85299287409,0,157,21,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,whatís an auto show without auto enthusiasts? we sent a group of auto bloggers to detroit to see our new ilx and nsx concepts. see what they thought of the new acura line-up:
Acura,85299287409,0,23,0,4,4,1,0,2,0,0,1,0,2,0,1,0,"we had a great time at the sundance film festival in utah meeting attendees, rubbing elbows with celebs, seeing some fantastic films and showing off all that acura has to offer. take a look inside the acura studio to see what weíve been up to in park city."
Acura,85299287409,0,26,11,3,3,3,1,1,0,1,2,1,4,0,0,0,"we're still looking for your essential luxuries! tell us all about them in a short video, and you could win one of five all-expense-paid luxury weekends for two in arizona to test-drive the 2013 rdx before it goes on sale! a macbook pro could also be yours! submit your video now through the rdx essential luxury challenge tab."
Acura,85299287409,0,32,1,3,2,1,0,4,0,0,4,0,5,0,3,4,"acura is proud to have been the presenting sponsor and the official vehicle of the 2011 sundance film festival. as the festival comes to a close, did anyone catch a glimpse of a sundance star riding in an mdx?"
Acura,85299287409,0,24,0,3,6,2,0,1,0,0,1,0,3,0,1,0,"we're big fans of robert redford, and if you're a fan of the sundance film festival, you should be too! learn more about redford's fascinating project here:"
Acura,85299287409,0,24,12,2,4,1,0,1,0,0,1,0,2,0,0,1,have a story to tell about your acura. visit our celebrate site and share it with us!
Acura,85299287409,0,22,56,1,NA,NA,0,0,0,0,0,0,0,0,0,1,how many times a year do you wash your acura? any secret tricks you use when washing your acura?
Acura,85299287409,12,117,13,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acura,85299287409,0,23,0,7,7,4,1,3,1,2,6,3,8,0,1,2,"we hosted the cast of the end of love in the acura studio at the sundance film festival last night for a private event, but we'll share pictures with you soon. the film stars some of our favorite  sundance alum, including a hoodie aficionado that had to battle off his girlfriend's exes as scott pilgrim and a beauty who worked to escape purgatory in wristcutters: a love story."
Acura,85299287409,0,22,1,6,3,NA,0,1,0,0,2,0,3,0,1,0,the acura studio at the sundance film festival was packed last night for the after-party for your sister's sister. recognize the starlets from the film? one walked the red carpet at sundance in 2010 to promote the company men and the other appeared at sundance 2008 for sunshine cleaning.
Acura,85299287409,0,20,0,6,NA,NA,0,1,0,0,1,0,2,0,1,0,"andy samberg and rashida jones, the stars of celeste & jesse forever, joined us in the acura studio at the sundance film festival. check out these pics from the event!"
Acura,85299287409,0,25,1,6,6,0,0,0,0,0,1,0,2,0,0,1,acura hosted the cast of celeste and jesse forever last night at our studio on main st. the film stars some of our favorite comedic actors. here is a hint: you can find this starlet nursing in pawnee while this funny man serenades us on a boat. post your guesses and we'll post our pics later.
Acura,85299287409,0,57,18,5,NA,NA,1,1,0,0,1,1,1,0,2,0,"it's the first day of the sundance film festival, and we're on the scene. if you and your acura were out in park city, would you rather hit the slopes or catch the films?"
Acura,85299287409,0,34,3,5,1,NA,0,0,0,0,1,0,1,0,0,0,"ever heard of active sound control? see how acura uses your vehicleís speakers not only to create sound, but to take it away."
Acura,85299287409,2,42,5,4,8,3,1,1,0,0,2,1,4,0,3,1,"here's your chance to win a trip to arizona to experience the new rdxbefore it goes on sale! all you have to do is submit a video of yourselftelling us about your essential luxury. maybe itís your morning espresso,your annual ski trip or front row seats to your favorite concert - whateveryour luxuries are, we want to know! learn more here: _252146911515663"
Acura,85299287409,0,42,152,4,2,1,0,0,0,0,1,0,1,0,0,1,my favorite acura in todayís line-up is ____________.
Acura,85299287409,0,26,10,3,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,did you know you can get help with your acura vehicle concerns by following @acuraclientcare on twitter? 
Acura,85299287409,0,34,1,2,10,3,0,6,0,0,4,1,7,0,4,4,"acura is a presenting sponsor and the official vehicle of the 2012 sundance film festival and will also host the audience award for the us dramatic and documentary competition series.  on-site beginning january 20th, catch all the action at the ìacura studio"" on main st where we will showcase some exciting new vehicles in a fun interactive space. check us out if youíre in park city. "
Acura,85299287409,0,25,10,2,1,2,0,0,0,0,0,0,1,0,0,0,itís quick and easy to retrieve your radio or navi code. find it fast at my acura. 
Acura,85299287409,0,47,43,1,5,2,0,2,0,0,2,0,2,0,2,1,we hope you enjoyed your weekend. did you go anywhere exciting in your acura? 
Acura,85299287409,0,39,127,7,2,1,0,0,0,0,1,0,2,0,0,1,what is your favorite feature on your acura? 
Acura,85299287409,0,49,128,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,iím an acura owner because ____________. 
Acura,85299287409,0,44,28,6,7,1,1,0,0,1,0,1,2,0,1,1,the 2013 rdx was designed with essential luxuries in mind. click on the rdx challenge tab and tell us about your essential luxuries for a chance to win an exclusive weekend in arizona to experience the rdx before it goes on sale! see official rules here: 
Acura,85299287409,0,37,26,5,1,NA,0,1,0,0,1,0,2,0,0,1,"every acura has a story to tell. if your acura could talk, which story do you think it would share? "
Acura,85299287409,0,70,17,4,NA,NA,0,0,0,0,0,0,1,0,0,0,"it's been a big week for acura! we revealed 3 new vehicles at naias in detroit, including the new nsx concept. check out all the highlights here: "
Acura,85299287409,0,50,17,4,1,NA,0,0,0,0,0,0,1,0,0,0,"we want to see photos of your acura in its natural habitat. whether itís in the garage, on the freeway or packed full of groceries, show us your acura! "
Acura,85299287409,192,793,66,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acura,85299287409,0,71,8,3,NA,NA,0,1,0,0,0,0,0,0,0,0,"on monday, we revealed the new nsx concept at naias in detroit. now you can see it on the track in sonyís gran turismo 5! check out the video here: "
Acura,85299287409,0,42,37,3,6,2,0,1,0,0,2,0,2,0,1,2,"you have to give praise where itís due! if you were to give your acura an award, what would it be? "
Acura,85299287409,0,53,84,2,8,2,0,2,0,0,3,0,3,0,2,2,"yesterday we revealed three exciting new vehicles in detroit! we want to hear from you. do you have a favorite? an opinion youíd like to share?  if you havenít had a chance to see the new additions to the acura line-up, check out acura.com. "
Acura,85299287409,40,329,59,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,good morning from detroit! check out the all-new 2013 rdx prototype.
Acura,85299287409,0,59,9,1,11,6,2,1,0,2,2,2,4,0,2,0,attention acura fans: today is the start of our rdx essential luxury challenge! five lucky acura fans will win an all-expense-paid weekend for two in arizona to experience the 2013 rdx before it goes on sale. click on our rdx challenge section to find out how to enter for a chance to win! 
Acura,85299287409,119,1019,162,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,the all-new 2013 ilx concept from the show floor!
Acura,85299287409,663,2531,419,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nsx concept on the show floor!
Acura,85299287409,0,63,54,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,the detroit auto show press event is starting right now on acura.com! go to acura.com on your desktop or smart phone to see the big reveals live! 
Acura,85299287409,12,170,35,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,eagerly awaiting....
